Var1,Freq
Greece: Athens,43
Greece:Grevena,43
Greece:Volvi lake,43
Greece: Thrace,41
Greece:Louros River,41
Greece:Prespa drainage,41
Greece:Serres,41
Greece: Andros,40
Greece:Eretria,40
"Greece:Ionian Sea, Uranian Basin",40
Greece:Pamissos River,40
"Greece:Peloponnisos, Stymfalia lake",40
"Greece:Peloponnese, Mainalo mountain hut",39
Greece: Samos,38
Greece:Aghia Pelagia,38
Greece:Lake Trichonis,38
"Greece:Peloponnese, Agios Ioannis to Meligou 1.5 km before",38
Greece: Ikaria,37
Greece: Patras,37
Greece:Florina Prespes lakes,37
Greece:Pella,37
Greece:Achaia,36
"Greece:Crete isl., Lissos, Sougia",36
Greece:Lake Koronia,36
Greece: Milos,35
Greece: Rethymno,35
Greece:Evrotas River,35
Greece:Lesbos drainage,35
Greece:Mainland Greece,35
"Greece:Plakias, Crete",35
Greece:shallow submarine hydrothermal vent near Milos island,35
Greece: Karpathos,34
Greece:Arta,34
Greece:Saronikos Gulf,34
Greece: Drosopigi,33
Greece:Amvrakikos Gulf,33
Greece:Chamolia,33
Greece:Kerkini lake,33
"Greece:Logarou Lagoon, Amvrakikos Gulf, Western Greece",33
"Greece:Crete, Mediterranean Sea",32
Greece:Kozani,32
Greece:Tristomo,32
Greece:Crete south coast,31
Greece:Kalloni,31
"Greece:Kavala, Thasos Isl. Thasopoula islet",31
Greece:Louros drainage,31
"Greece:Rhodos, Salakos",31
"Greece: Crete, South Crete, Paralia Skinaria",30
Greece: Ionio Sea,30
"Greece: Peloponnese, Katafigio Profitis Ilias, Oros Taygetos",30
Greece: Skyros island,30
Greece: southern,30
Greece:Macedonia and Thessaly,30
Greece:Mesinia,30
Greece:Mikri Prespa,30
Greece:Nisyros,30
Greece:Thesprotia,30
Greece:Acheloos drainage,29
"Greece:Askion, Nea Nikopoli",29
Greece:Corfu,29
Greece:Epirus,29
Greece:Lesvos Island,29
Greece:north Evoikos Gulf,29
"Greece:Tinos Island, Rohari beach",29
Greece: Chios,28
"Greece: Dodecanese, Symi isl.",28
Greece: Leros,28
"Greece:Andros Island, Felos",28
"Greece:central Greece, 2.5 km SE of Paleokastro",28
Greece:Kifissos drainage,28
"Greece:northwestern Greece, Central Pindos",28
Greece:Alfios River,27
"Greece:Central Greece, Gravia to Amfissa 27.5 km",27
Greece:Diafani,27
"Greece:Eastern Mediterranean,Aegean Sea Rethymno",27
"Greece:Khios, Leptopodha Amadhes",27
"Greece:Milos Island, Tsigrado",27
Greece: Corinthia,26
"Greece: Rhodes, Ladiko Bay",26
"Greece:Crete isl., Therissos gorge",26
Greece:Crete north coast,26
Greece:Farsala,26
Greece:Paleokastritsas,26
"Greece:Peloponnesus, Mathia",26
"Greece:S of Anavriti, Taigetos Mts., Peloponnese",26
"Greece:Western Thrace region, Karidia",26
Greece: Aegean sea Sporades,25
"Greece: Crete, Samaria",25
"Greece: Dodecanese, Symi",25
Greece: Evia,25
Greece: Patmos,25
Greece:Aliakmon drainage,25
"Greece:Andros, Pitrofos",25
Greece:Lake Pamvotis,25
Greece:Mycenae,25
Greece:Prespa Lakes Plain,25
"Greece: Crete, Mt. Dikti",24
Greece: Kefallonia,24
"Greece: Peloponnese, 9,6 km S Anavriti on E4 trail, Oros Taygetos",24
Greece:Acheron drainage,24
"Greece:central Greece, 0.4 km N of Lichno",24
Greece:Samos Island,24
Greece:Thessaly,24
Greece: Peloponnese,23
Greece: Sifnos,23
"Greece:Andros, Aghios Georghios Faralis",23
Greece:Arachthos drainage,23
"Greece:Askion, Siatista",23
Greece:Ioninan Islands Zakynthos,23
Greece:Kastoria,23
Greece:Kyklades Milos Isl.,23
Greece:Larissa,23
Greece:Parga,23
"Greece:Sifnos Island, Kamares",23
Greece:Xanthi Prefecture,23
Greece:Captive stock,22
Greece:Captive stock 1,22
"Greece:central Greece, 0.8 km SE of Paleokastro",22
"Greece:central Greece, 1.0 km NW of Archani",22
"Greece:central Greece, 1.1 km SSW of Stirfaka",22
"Greece:central Greece, 1.7 km NW of Champsa",22
"Greece:central Greece, 1.8 km W of Makrirrachi",22
"Greece:central Greece, 3.5 km N of Kalamaki",22
Greece:Drama,22
Greece:Florina,22
Greece:Megas Gialos,22
Greece:N. Aegean Sea,22
Greece:Patmos Island,22
Greece:Stymphalia Lake,22
Greece:Xrysoupoli,22
Greece:Ydra Island,22
Greece: Dodecanese,21
Greece: Kavala,21
"Greece:Attica, Sounio",21
"Greece:Crete isl., Elafonisi",21
Greece:Kyklades Kimolos Isl.,21
Greece:Laconia,21
Greece:Peloponnesus,21
"Greece:Syros Island, Galissas",21
"Greece: Crete, Sugia",20
"Greece: Crete, Zakros",20
"Greece: Dragonada islet, Crete",20
Greece: Kelli,20
"Greece: N. Aegean, Ikaria isl.",20
Greece: Pessani,20
Greece:Aghia Paraskevi Lesvos,20
Greece:Amorgos Island,20
"Greece:Andros, Koumari",20
Greece:Ano Koufonissi Island,20
"Greece:central Greece, 0.4 km S of Tsoukka",20
"Greece:central Greece, 0.4 km W of Fourna",20
"Greece:central Greece, 0.5 km NW of Pappas",20
"Greece:central Greece, 0.6 km SW of Kastania",20
"Greece:central Greece, 0.7 km NNW of Rodonia",20
"Greece:central Greece, 0.7 km W of Kato Kampia",20
"Greece:central Greece, 1.0 km NNW of Kato Kallithea",20
"Greece:central Greece, 2.0 km NE of Kalamaki",20
"Greece:central Greece, 2.0 km SW of Pappas",20
"Greece:central Greece, 2.3 km SE of Moschokaria",20
"Greece:central Greece, 2.64 km NW of Asvesti",20
"Greece:central Greece, 3.0 km E of Neochori",20
"Greece:central Greece, 3.0 km NWW of Rentina",20
"Greece:central Greece, 3.0 km SW of Tymfristos",20
"Greece:Doirani lake, Megalo rema",20
"Greece:Eastern Mediterranean,Aegean Sea Iraklio",20
Greece:Ikaria,20
Greece:Kalimnos,20
Greece:Lailias,20
"Greece:Lesbos, Polichnitos",20
Greece:Madamados Lesvos,20
"Greece:Milos Island, Achivadolimni",20
"Greece:Rhodos, Epano Kalamon",20
Greece: North western Aegean Sea,19
Greece: Thessaloniki,19
Greece:Astros,19
Greece:Central Macedonia province ~2Km E Neon Petritsion,19
"Greece:East Macedonia, Paranesti",19
"Greece:Khios, Aghios Galas",19
Greece:Lakonia,19
Greece:Mediterranean drainage,19
Greece:North Crete,19
Greece:Ossa,19
"Greece:S of Kaloskopi, Pindos Mts.",19
Greece:Sperchios drainage,19
Greece:Thimari,19
Greece: Agios Georgios Pagon (Corfu),18
"Greece: Lesvos island, Mt. Petrovouni",18
Greece: Nea Malesiada,18
Greece: Orvilos Mt.,18
"Greece: Stamfani, Strofades",18
"Greece: Stymfalia lake, Peloponnesos",18
"Greece:Ano Koufonissi Island, Pori",18
"Greece:between Kalivia Filaktis and Portitsa, SW of Kardhitsa, Thessalia",18
"Greece:central Greece, 0.6 km E of Agios Triada",18
"Greece:central Greece, 1.0 km NW of Afentika",18
"Greece:central Greece, 3.3 km E of Anavra",18
"Greece:central Greece, 3.5 km N of Klisto",18
"Greece:central Greece, Ano Kallithea",18
"Greece:Crete isl., Balos",18
"Greece:Crete, Thripti",18
Greece:Doirani lake,18
Greece:Epiro,18
"Greece:Karpathos, Aperi",18
"Greece:Lesvos,Agiassos",18
Greece:Mt. Olympus,18
"Greece:Naxos Island, Agiassos",18
Greece:Nea Santa,18
Greece:Pantokrator,18
Greece:Parnassida,18
"Greece:Peloponnese, CR Peloponnes, Lakonien Parnon, Passhoehe NE Karies",18
"Greece:Platania, Volos",18
"Greece: Central Macedonia, Analipsi",17
Greece: Mt. Erimanthos,17
"Greece: Peloponnesos, Chelmos Mt., below Gaidurrorachi (near Peristera)",17
"Greece: Samos island, Kerkis Mts.",17
"Greece:Andros, Amoniakleon",17
"Greece:Andros, Lamira",17
"Greece:Crete, Almiros of Gheorghioupoulo",17
"Greece:Crete, small stream in forest near Elos",17
"Greece:Cyclades, Syros Island",17
"Greece:E of Steni, Evvoia Island",17
Greece:Eastern Mediterranean,17
Greece:Kalavrita,17
Greece:Lake Volvi,17
Greece:Nemea,17
Greece:Schinoussa Island,17
Greece:Thermaikos Gulf,17
Greece:Volvi drainage,17
"Greece:Zakros, Island of Crete",17
Greece: Aposkepos,16
Greece: Lefkada,16
Greece: Pentalofos Eptachori,16
"Greece: Prasonisi isl., Pori island",16
Greece: Prespes,16
Greece: South Aegean,16
"Greece:Adimis, W of Steni, Evvoia Island",16
"Greece:Agtrini, S of Eptalofos, Parnassos Mts.",16
Greece:Aoos drainage,16
"Greece:Attica, KI",16
"Greece:Central Macedonia province, ~10 Km E Thessaloniki",16
"Greece:Central Macedonia province, Metamorfosi",16
"Greece:Crete, Falassarna Beach",16
"Greece:Crete, Gouvernetou",16
Greece:Ferres,16
"Greece:Florina district, Psarades",16
Greece:Granitis,16
Greece:Ileia,16
Greece:island of Crete,16
Greece:Lesvos island,16
"Greece:Makedonia, Drama",16
"Greece:Naxos, Aria Spring",16
"Greece:near road Dhiaselo Pikoulianika, N. Taigetos Mts., Peloponnese",16
"Greece:Palaiokhorion, W of Kardhitsa, Thessalia",16
"Greece:Petres, Crete",16
"Greece:Sitia, Crete",16
Greece:Sperchios,16
"Greece:Western Thrace region, Ladi",16
"Greece:Western Thrace region, Lira",16
Greece: Araxos,15
"Greece: Crete, Mt. Limnakaro",15
Greece: Cyclades,15
"Greece: Cyclades, Archaeological site, Delos",15
Greece: Delphi,15
"Greece: Drama, Oros Falakro",15
"Greece: East Macedonia and Thrace, Rhodope, Aigeiros, Ptelea lagoon",15
Greece: Eastern Mediterranean Sea,15
Greece: Isl. Rodos,15
"Greece: Lissos river, near Arisvi",15
Greece: Panagitsa,15
Greece: Plakias (Crete),15
Greece: Romia,15
"Greece: S Pindhos, Lakmos Mts., NW edge of Syrrako",15
"Greece: Sterea Ellada, Delphi",15
Greece: Thessaly,15
"Greece:Anthousa, Pindos Mts., Epirus",15
Greece:Astakida isl.,15
"Greece:Athens, Kavouri",15
Greece:Chryspvitsi,15
Greece:Corfu Island,15
"Greece:Crete, Heraklion",15
"Greece:Crete, Zakros",15
Greece:Megali Plaka,15
Greece:Milos,15
"Greece:Mykonos Island, Ftelia",15
Greece:Nafplio,15
"Greece:near Arna, by Arna Vasiliki road, Taigetos Mts., Peloponnese",15
"Greece:northwestern Greece, Northern Pindos",15
"Greece:Paros Island, Santa Maria",15
"Greece:Peloponnese, Steno to Tripoli 500m",15
"Greece:Peloponnese, Tripoli to Levidi 2 km",15
Greece:Prespa lake,15
"Greece: Crete, Heraklion, near Dermatos",14
"Greece: Epirus, Arta, Amvrakikos Gulf, Mazoma",14
Greece: Kalavrita,14
Greece: Kato Zachlorou,14
Greece: Mt. Penteliko,14
Greece: Pagasitikos Gulf,14
"Greece: S Pindhos, Lakmos Mts., NE of Matsouki",14
Greece:Arahova,14
"Greece:Attica, Athens",14
"Greece:Central Macedonia, Chalkidiki, Sithonia, Sarti",14
"Greece:Chania, Crete",14
Greece:Chios Island,14
"Greece:Crete isl., Samaria",14
"Greece:Crete, Fodele",14
"Greece:Crete, KatoMalakion",14
"Greece:Crete, KavallarianiVrisi, E of Tsangariakos",14
"Greece:Crete, Lasithy Plateau",14
"Greece:Crete, Sfinari beach, small spring and stream",14
"Greece:Crete, Spili",14
Greece:eastern Mediterranean sea,14
"Greece:Eptanisa Islands Kerkyra Isl., Sidari",14
Greece:Euboea,14
"Greece:Euboea, al sur de Troupio",14
"Greece:Ghorani, Taigetos Mts., Peloponnese",14
Greece:Megalos Ambelas,14
Greece:Mesolonghi,14
Greece:Mt. Athos,14
Greece:Peleponnese,14
Greece:Pinios,14
"Greece:Santorini Island, Monolithos",14
Greece:Sokraki,14
"Greece:Thessaly, Larisa district, Mt. Ossa, Stomio",14
Greece:Vatsounia,14
"Greece:WSW of Piana, WNW of Tripolis, Peloponnese",14
Greece:Zagori,14
Greece: Agios Germanos,13
Greece: Anafi,13
Greece: Central Macedonia,13
"Greece: Central Macedonia, Kalochori",13
"Greece: Crete, Mt. Dochi",13
"Greece: Crete, Zaros",13
Greece: Drama,13
"Greece: Drama, Oros Orvilos, Katafito",13
"Greece: East Macedonia and Thrace, Rhodope, National Park of Nestos Delta and lakes Vistonida Ismarida, Nestos lagoon",13
Greece: Epirus,13
Greece: Ionian Sea,13
"Greece: Rhodes, Agios Thomas",13
"Greece: S Pindhos, Lakmos Mts., E of Syrrako, between Syrrako and Kalarites, Chrousias river",13
"Greece: Volos, near Chania",13
Greece: Western Macedonia,13
"Greece:Aegean Sea, Milos",13
Greece:Argolida,13
Greece:Attiki,13
"Greece:Central Macedonia, Serres, NW Vyronea village",13
Greece:Chalkidiki,13
"Greece:Crete, E of Asfendhiles",13
"Greece:Crete, Sfakaki",13
Greece:Evia,13
Greece:Iraklia,13
Greece:Kalamas drainage,13
"Greece:Kastania Spring, Dhelfoi, Parnassos Mts.",13
"Greece:Kerasias Spring, Sivros, Lefkas Island",13
Greece:Korinthia Ancient Feneos,13
"Greece:Macedonia, Florina, Ydroussa",13
"Greece:Mykonos Island, Lia",13
"Greece:Naxos, Aghia",13
Greece:NE Thessaloniki,13
"Greece:near Kastania, Taigetos Mts., Peloponnese",13
Greece:Paros,13
"Greece:Patmos Island, Panagia Geranou",13
"Greece:Patmos Island, Petra",13
"Greece:Peloponnese, Diakopto gorge",13
Greece:Pireaus,13
Greece:Rhodos Island,13
Greece:Samos drainage,13
"Greece:Schinias, Attiki",13
"Greece:Serifos Island, Psili Ammos",13
Greece:Skala,13
Greece:South Crete,13
"Greece:spring at Viaradika, central Kithira Island",13
"Greece:Syros Island, Komito",13
"Greece:Tinos, Kardiani",13
"Greece:West Macedonia, Grevena, Konitsa ENE 23km, Samarina NW 3km",13
Greece: Acheloos Delta,12
Greece: Amorgos,12
Greece: Arta,12
Greece: Cephalonia,12
"Greece: Chios island, Mt. Pelineo",12
"Greece: Crete, Chania",12
"Greece: Crete, Giouhtas mountain",12
"Greece: Crete, Therissos",12
"Greece: Dodecanese, Rodos isl.",12
Greece: East Macedonia and Thrace,12
Greece: Ellinika Panetolikos,12
Greece: Lemnos,12
"Greece: Mediterranean coast, Southcoast of Crete, Plakias",12
Greece: Mt. Pangeon,12
Greece: Mt. Taigetos,12
Greece: Ostrakina,12
Greece: Rhodes,12
"Greece: S Pindhos, Lakmos Mts., ca. 6 km N of Kalarites (close to Mparos pass)",12
Greece: Symi,12
"Greece: Tinos, Komi",12
"Greece: West Greece, Kalavryta env., junction to Rogi",12
Greece: West Macedonia,12
"Greece: West Macedonia, Galatini",12
Greece:Agrilou,12
Greece:Alexandroupolis,12
Greece:Amvrakikos,12
Greece:Andros,12
Greece:Antikeros,12
"Greece:Askion, Ligeri",12
"Greece:central Greece, 0.8 km N of Trilofo",12
Greece:Corinth,12
Greece:Corinthian Gulf,12
"Greece:Crete, Kato Zakros",12
Greece:Daskalio,12
"Greece:East Macedonia, Rhodope Mountains",12
Greece:Eastern mainland,12
"Greece:Ikaria island, Halari stream",12
Greece:Ionian Islands,12
Greece:Kalabaka,12
"Greece:Karpathos, Mt. Kali Limni",12
Greece:Kopria,12
Greece:Kreta,12
Greece:Kriti (Crete),12
Greece:Lake Prespa,12
Greece:Lasithi,12
Greece:Lefkada,12
Greece:Limnos Island,12
"Greece:Mazoma Lagoon, Amvrakikos Gulf, Western Greece",12
Greece:Mikrolimni,12
"Greece:NE of Palaiokhorion, WNW of Tripolis, Peloponnese",12
Greece:Olympus,12
"Greece:Paros Island, Ampelas",12
"Greece:Peloponnese, Feneou Lake",12
"Greece:Peloponnese, Panachaiko Mt., 1800m a.s.l.",12
"Greece:Peloponnese, Rodia 1.2 km before",12
Greece:Peri Crete,12
Greece:Pieri Mts.,12
"Greece:Rhodes island, Faliraki",12
"Greece:S Aegean, Kos Mastihari",12
"Greece:Sirakon, Pindos Mts., Epirus",12
"Greece:Sparti, Peloponnese",12
"Greece:Symi island, Symi",12
"Greece:Tinos Island, Giannaki beach",12
"Greece:Tinos, Komi",12
"Spain:Canary Islands, Tenerife, in hort. ORT (ex Greece)",12
Greece: Achaea,11
Greece: Agios Georgios,11
"Greece: Andros, Ano Menites",11
"Greece: Central Macedonia, Anatoliko",11
"Greece: Central Macedonia, Dion",11
"Greece: Crete, Kastamonitsa",11
"Greece: Drama, Rhodopi, Frakto Forest",11
"Greece: Evia, Stropones",11
Greece: Ioannina,11
"Greece: Karpathos, Kali Limni",11
"Greece: Lasiti Plateau, Crete",11
"Greece: Serifos, Kato Dipotama",11
"Greece: Serres, Elaionas",11
"Greece: Thasos island, Theologos",11
Greece: Zakynthos Killipades,11
"Greece:Agio Theodori, near Belitseika and Koutiveika, Taigetos Mts., Peloponnese",11
Greece:Agios Vasilios,11
Greece:Alfios drainage,11
Greece:Andreas,11
"Greece:Andros Island, Agios Petros",11
Greece:Argoliko,11
"Greece:between Bouzion and Kalianci, N. Peloponnese",11
"Greece:Crete isl., Anopoli, Lefka Ori",11
"Greece:Crete, E of Tzermiadhon",11
"Greece:Crete, Kolymbari",11
"Greece:Crete, Lasithi",11
"Greece:Crete, Pelekaniotikos river",11
Greece:Cycladic islands,11
"Greece:Drama, Falacro Mts, Kato Nevroskopi, 2.5 km S, 5 km NW Granitis",11
"Greece:Epirus, Ioannina, Epirus, Smolikas, Ag. Paraskevi",11
"Greece:Epirus, Ioannina, Konitsa SW 2km, Aoos river banks",11
"Greece:Gerania Mt., N of Athens, Attica",11
Greece:Glaronissi,11
Greece:Karpathos,11
"Greece:Kreta, Omalos, noerdlicher Wald",11
Greece:Kythera island,11
"Greece:Lesvos Island, Molyvos",11
"Greece:Macedonia Tracia, A. R. Burgaz",11
"Greece:Macedonia, Chalkidona",11
Greece:Mesologgi,11
"Greece:Naxos, Aghio Kyriaki, Mesi Potamia",11
Greece:Neraida,11
Greece:North Aegean Sea,11
Greece:P. Elias province,11
Greece:Parnas,11
"Greece:Paros Island, Tserdakia",11
Greece:Peloponnes,11
"Greece:Peloponnese, Kalamata SE 15km, Kambos gorge",11
"Greece:Peloponnisos, Taygetos mt.",11
"Greece:Platania Spring, Pisia, N of Loutrakion, Attica",11
"Greece:S of Ano Polidhrosos, Parnassos Mts.",11
"Greece:Samos Island, Potokaki",11
"Greece:Sifnos Island, Vigla",11
"Greece:spring at Karavas, N of Kithira Island",11
Greece:Syros,11
Greece:Thessaloniki City,11
Greece:Tilos,11
"Greece:Tinos Island, Panormos Bay",11
Greece:Zaravina Lake,11
Greece: AetoliaAcarnania,10
"Greece: Agia Eirini, Cephalonia",10
"Greece: Antikithira, Prasonisi isl., Pori island",10
"Greece: Central Greece, Karpenisi, restaurant on road to Agrinio before Ano Kalesmeno",10
"Greece: Central Macedonia, Thessaloniki, Axios National Park, Axios lagoon",10
Greece: Chamolia,10
"Greece: Crete, Karteros Gorge",10
"Greece: Cyclades, Mykonos",10
"Greece: East Macedonia and Thrace, Rhodope, Aigeiros, Alyki lagoon",10
Greece: Kimolos island,10
"Greece: Lesvos island, Sanatorio",10
Greece: Livadia,10
"Greece: Lygeri, Kozani",10
Greece: Orthovouni,10
"Greece: Peloponnese, Nemea",10
Greece: Plaka,10
"Greece: S Pindhos, Lakmos Mts., E of Syrrako, tourist path from Syrrako to Kalarites",10
"Greece: Skyros, Loutro spring",10
Greece: Smolikas,10
Greece: Strofilia,10
Greece: Timfi,10
Greece: Zagori,10
Greece:Afandou Rhodes,10
Greece:Agiasos Achladeri Lesvos,10
"Greece:Aigio, Tsolis",10
Greece:Aitoloakarnania Trichonida lake,10
"Greece:Andros, Livadhia",10
Greece:Arapis,10
Greece:Astakida,10
"Greece:Chios, Aegean Sea",10
"Greece:Chios, Leptopodha Amadhes",10
Greece:Ciclades Islands,10
"Greece:Crete, Chania",10
"Greece:Crete, Drigies",10
"Greece:Crete, Kiperas Pond",10
Greece:Damatria Rhodes,10
"Greece:Dytiki Makedonia, Skiti",10
"Greece:Epirus, Ioannina, Konitsa E 1km",10
Greece:Evia drainage,10
"Greece:Evoikos Gulf, Porto Rafti Harbour",10
"Greece:Grevena Voio Mt., Aidona",10
Greece:Ierissos Chalkidiki,10
Greece:Igoumenitsa,10
"Greece:Island of Crete, Zakros",10
Greece:Kalavryta,10
"Greece:Kapsala, at Panagia Hozoviotissa monastery, island of Amorgos",10
Greece:Karpenisi,10
Greece:Keramidi Magnesia,10
"Greece:Korinthia Feneos, Doxis lake",10
Greece:Koufonissi,10
Greece:Lakonia Karyes,10
Greece:Lakonias,10
"Greece:Lesvos, Mount Olympus",10
"Greece:Lesvos, Vrisa",10
Greece:Mandriko Rhodes,10
"Greece:Mesa katiforida at Agia Triada monastery, Lagada, Egiali, island of Amorgos",10
"Greece:Milos, N of Adamas",10
"Greece:N slope of Pilion Mt, E of Volos",10
Greece:Nea Kameni,10
"Greece:NNW of Ghorani. Taigetos Mts., Peloponnese",10
"Greece:North Crete, Heraklion",10
"Greece:northwestern Greece, Vitsi Varnoundas",10
"Greece:Parnassus Mts., S of Eptalofos, N of Kalania",10
"Greece:Peloponnese, Kalavryta",10
"Greece:Peloponnisos, Argos",10
Greece:Poros,10
Greece:Potamia Paramithia Thesprotia,10
"Greece:Pref. Ioannina, Dovla",10
Greece:Psarades,10
"Greece:Rhodes, Kritinia",10
"Greece:Rhodos, Kolymbia",10
"Greece:Samos Island, Mykali",10
"Greece:Santorini Island, Mesa Pigadia",10
Greece:Schinoussa,10
Greece:Shinias,10
Greece:Simos beach Elafonissi,10
Greece:Skopelos,10
Greece:Smiksi Grevena,10
"Greece:St. Ellada, Evvoia island",10
Greece:Thermaikos gulf,10
Greece:Thessalonikis,10
"Greece:Thessaly, Magnisia, Volos SE 36km, valley SSW Promiri",10
Greece:Tilos (Dodecanese),10
Greece:Trikala,10
"Greece:Trikala, 5Km S Farkadon",10
Greece:Vlichos stream,10
Greece:Vontas,10
Greece: Aggistro,9
"Greece: Asclepios, Epidavros, Peloponnesos",9
Greece: Askion Mts,9
"Greece: Astypalaea, Agrilidi",9
Greece: Athos Peninsula,9
"Greece: Central Macedonia, AUTH",9
"Greece: Crete, Agia Roumeli, rocks NW of, 90m",9
"Greece: Crete, Karfi",9
"Greece: Crete, Roussa Ekklisia",9
"Greece: Euboia Island, Mnima peninsula",9
"Greece: Lafka, Peloponnesos",9
"Greece: Lake Stymphalia, inflow",9
Greece: Macedonia,9
"Greece: Menites, Andros island",9
"Greece: Milos isl., Aigaio",9
"Greece: Peloponnesos, NW of Tripolis",9
"Greece: River Arachthos, Arta",9
"Greece: River Evrotas, Sparta",9
"Greece: River Louros, Agios Georgios",9
"Greece: Thrace, Kavisos",9
Greece:Agia Kyriaki,9
Greece:Agia Paraskevi,9
Greece:Agrinio,9
"Greece:Almyros, imported from Brazil via Netherlands",9
"Greece:Andros, Vrysi Mourias, Ammolochas",9
Greece:Arkadia Kosmas,9
"Greece:Attica, Thoriko",9
Greece:Axios,9
Greece:Cahmolia,9
Greece:Cape Tenafo,9
"Greece:Central Greece, Attica, Katsimidi",9
"Greece:Central Greece, Giona Mt. Palaiovouni peak at Makrilakoma",9
Greece:Cyclades,9
Greece:Domokos Fthiotida,9
Greece:Enipeas River,9
"Greece:Epirus, Ioannina, Konitsa ENE 4km",9
"Greece:Epirus, Ioannina, Konitsa SSE 18km, Kalivia",9
"Greece:Epirus, Parga",9
"Greece:Epirus, Vrosina to Igoumenitsa 15 km",9
Greece:Evrotas drainage,9
Greece:Golf of Arta,9
"Greece:Ioannina, Timfi Mts, Kapesovo NE",9
"Greece:Island of Rhodes, Monolithos",9
"Greece:Karpenisi, Timfristos Mt",9
"Greece:Kernitsa, Peloponnesus",9
Greece:Keros,9
Greece:Lake Mikri Prespa,9
"Greece:Macedonia, Kavala",9
"Greece:Macedonia, Pella, Almopia, Sarakini",9
Greece:Makronissi,9
"Greece:Mt. Falakro (1650 m), Macedonia",9
"Greece:N. Krini, Thessaloniki Gulf",9
Greece:Nauplion hatchery,9
"Greece:Naxos Island, Kanaki",9
Greece:Nea Horoza,9
Greece:Olympia,9
Greece:Peloponese,9
"Greece:Peloponnese, Diakopto to Kalavrita",9
"Greece:Peloponnese, Lakonias, Sparti W 6km, Mistras",9
"Greece:Peloponnese, Planitero, Helmos Mt.",9
"Greece:Peloponnese, Tripoli to Mainalo mountain hut 1.5 km",9
"Greece:Platanias, Trichonida (Trichonis) Lake",9
"Greece:Platanitsa, Achaia",9
Greece:Potamia,9
"Greece:Rhodes, Cape Caravola",9
"Greece:Rhodes, Caravola",9
"Greece:River Platanistos. Platanistos, South Euboea",9
Greece:Rodopi,9
"Greece:Serifos Island, Koutalas",9
"Greece:Serron, Vironia, Ramna site",9
"Greece:Thessalia, Trikala",9
Greece:Trichonis Lake,9
Greece:Trikkala,9
Greece:Vouraikos drainage,9
"Greece:W of Nomia, Nisis Monemvasia, SE Peloponnese",9
Greece: Aegean sea Cyclades,8
"Greece: Central Macedonia, I.H.U.",8
"Greece: Chimara, Peloponnese",8
"Greece: Crete, Lasithi",8
"Greece: Crete, Mt. Lagos",8
Greece: Delfi,8
